7	1.758
7.1	1.713
7.2	1.685
7.3	1.634
7.4	1.747
7.5	1.758
7.6	1.677
7.7	1.702
7.8	1.678
7.9	1.676
8	1.618
8.1	1.701
8.2	1.836
8.3	2.046
8.4	2.098
8.5	2.221
8.6	2.324
8.7	2.294
8.8	2.47
8.9	2.413
9	2.156
9.1	2.148
9.2	2.245
9.3	2.114
9.4	1.874
9.5	1.675
9.6	1.718
9.7	1.678
9.8	1.748
9.9	1.861
10	1.959
10.1	2.104
10.2	2.257
10.3	2.383
10.4	2.476
10.5	2.559
10.6	2.629
10.7	2.68
10.8	2.681
10.9	2.714
11	2.735
11.1	2.704
11.2	2.717
11.3	2.761
11.4	2.764
11.5	2.798
11.6	2.755
11.7	2.703
11.8	2.677
11.9	2.676
12	2.654
12.1	2.678
12.2	2.695
12.3	2.686
12.4	2.582
12.5	2.544
12.6	2.518
12.7	2.408
12.8	2.351
12.9	2.297
13	2.153
13.1	2.155
13.2	2.112
13.3	1.842
13.4	1.941
13.5	1.755
13.6	1.506
13.7	1.608
13.8	1.54
13.9	2.206
14	1.814
