Name:	Coal rich clay
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 31
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2400369
Lon:	12.7237039

toxicity:	0.0
pH H2O:	2.85
pH KCl:	2.6
conductivity [µS.cm-1]:	360
water soluble Na [mg.g-1]:	102
water soluble K [mg.g-1]:	16
Al in KCl [mg.kg-1]:	1188.43
Fe in KCl [mg.kg-1]:	116.32
loss of ignition [%]:	22.84
polyphenol content []:	12.7

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9831
8.020	0.9814
8.038	0.9792
8.057	0.9805
8.075	0.9816
8.094	0.9812
8.113	0.9818
8.132	0.9821
8.151	0.9804
8.170	0.9789
8.189	0.9801
8.208	0.9818
8.228	0.9811
8.247	0.9790
8.267	0.9801
8.286	0.9801
8.306	0.9775
8.326	0.9755
8.346	0.9760
8.366	0.9780
8.386	0.9788
8.406	0.9787
8.427	0.9782
8.447	0.9779
8.468	0.9772
8.488	0.9764
8.509	0.9755
8.530	0.9766
8.551	0.9774
8.572	0.9756
8.593	0.9736
8.614	0.9740
8.635	0.9739
8.657	0.9718
8.678	0.9696
8.700	0.9682
8.722	0.9668
8.744	0.9653
8.766	0.9634
8.788	0.9615
8.810	0.9597
8.832	0.9584
8.855	0.9576
8.877	0.9579
8.900	0.9587
8.923	0.9612
8.945	0.9660
8.968	0.9701
8.992	0.9736
9.015	0.9758
9.038	0.9742
9.062	0.9700
9.085	0.9657
9.109	0.9608
9.133	0.9560
9.157	0.9517
9.181	0.9476
9.205	0.9433
9.229	0.9389
9.254	0.9349
9.279	0.9313
9.303	0.9285
9.328	0.9264
9.353	0.9251
9.378	0.9250
9.404	0.9256
9.429	0.9253
9.455	0.9253
9.480	0.9266
9.506	0.9273
9.532	0.9275
9.558	0.9278
9.585	0.9284
9.611	0.9297
9.637	0.9328
9.664	0.9370
9.691	0.9416
9.718	0.9479
9.745	0.9554
9.772	0.9601
9.800	0.9615
9.828	0.9615
9.855	0.9597
9.883	0.9569
9.911	0.9551
9.940	0.9550
9.968	0.9572
9.996	0.9609
10.025	0.9632
10.054	0.9642
10.083	0.9656
10.112	0.9668
10.142	0.9678
10.171	0.9688
10.201	0.9702
10.231	0.9718
10.261	0.9728
10.291	0.9737
10.322	0.9748
10.352	0.9763
10.383	0.9780
10.414	0.9794
10.445	0.9804
10.477	0.9810
10.508	0.9818
10.540	0.9819
10.572	0.9815
10.604	0.9809
10.636	0.9795
10.669	0.9782
10.702	0.9779
10.735	0.9776
10.768	0.9769
10.801	0.9761
10.835	0.9743
10.868	0.9723
10.902	0.9704
10.936	0.9687
10.971	0.9678
11.005	0.9670
11.040	0.9671
11.075	0.9673
11.110	0.9671
11.146	0.9674
11.182	0.9681
11.218	0.9681
11.254	0.9671
11.290	0.9664
11.327	0.9670
11.364	0.9682
11.401	0.9690
11.438	0.9693
11.476	0.9696
11.514	0.9696
11.552	0.9698
11.590	0.9703
11.629	0.9704
11.668	0.9703
11.707	0.9699
11.746	0.9706
11.786	0.9728
11.826	0.9748
11.866	0.9748
11.906	0.9733
11.947	0.9739
11.988	0.9755
12.029	0.9772
12.071	0.9766
12.113	0.9735
12.155	0.9748
12.198	0.9778
12.240	0.9796
12.283	0.9827
12.327	0.9841
12.371	0.9827
12.414	0.9813
12.459	0.9803
12.503	0.9788
12.548	0.9780
12.594	0.9794
12.639	0.9810
12.685	0.9804
12.731	0.9798
12.778	0.9810
12.825	0.9796
12.872	0.9776
12.920	0.9802
12.968	0.9819
13.016	0.9810
13.065	0.9814
13.114	0.9827
13.163	0.9837
13.213	0.9839
13.263	0.9828
13.314	0.9822
13.365	0.9823
13.416	0.9828
13.468	0.9821
13.520	0.9813
13.573	0.9820
13.626	0.9814
13.679	0.9805
13.733	0.9820
13.787	0.9852
13.842	0.9858
13.897	0.9828
13.952	0.9851
