Name:	Coal rich clay
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 10
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2127053
Lon:	12.6426692

toxicity:	0.0
pH H2O:	2.51
pH KCl:	2.4
conductivity [µS.cm-1]:	3160
water soluble Na [mg.g-1]:	62
water soluble K [mg.g-1]:	10
Al in KCl [mg.kg-1]:	2449.15
Fe in KCl [mg.kg-1]:	139.43
loss of ignition [%]:	34.01
polyphenol content []:	34.6

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9846
8.020	0.9830
8.038	0.9798
8.057	0.9809
8.075	0.9809
8.094	0.9785
8.113	0.9795
8.132	0.9816
8.151	0.9805
8.170	0.9787
8.189	0.9785
8.208	0.9790
8.228	0.9783
8.247	0.9760
8.267	0.9768
8.286	0.9773
8.306	0.9751
8.326	0.9732
8.346	0.9736
8.366	0.9751
8.386	0.9753
8.406	0.9749
8.427	0.9740
8.447	0.9740
8.468	0.9737
8.488	0.9726
8.509	0.9717
8.530	0.9735
8.551	0.9739
8.572	0.9715
8.593	0.9699
8.614	0.9708
8.635	0.9713
8.657	0.9698
8.678	0.9675
8.700	0.9662
8.722	0.9659
8.744	0.9651
8.766	0.9631
8.788	0.9609
8.810	0.9588
8.832	0.9573
8.855	0.9563
8.877	0.9557
8.900	0.9555
8.923	0.9569
8.945	0.9597
8.968	0.9622
8.992	0.9647
9.015	0.9666
9.038	0.9664
9.062	0.9640
9.085	0.9614
9.109	0.9588
9.133	0.9560
9.157	0.9541
9.181	0.9527
9.205	0.9501
9.229	0.9469
9.254	0.9442
9.279	0.9414
9.303	0.9382
9.328	0.9351
9.353	0.9328
9.378	0.9311
9.404	0.9301
9.429	0.9287
9.455	0.9274
9.480	0.9266
9.506	0.9249
9.532	0.9229
9.558	0.9220
9.585	0.9210
9.611	0.9201
9.637	0.9213
9.664	0.9241
9.691	0.9273
9.718	0.9331
9.745	0.9409
9.772	0.9462
9.800	0.9481
9.828	0.9483
9.855	0.9470
9.883	0.9443
9.911	0.9422
9.940	0.9421
9.968	0.9447
9.996	0.9494
10.025	0.9531
10.054	0.9556
10.083	0.9579
10.112	0.9599
10.142	0.9617
10.171	0.9635
10.201	0.9653
10.231	0.9672
10.261	0.9686
10.291	0.9698
10.322	0.9710
10.352	0.9723
10.383	0.9737
10.414	0.9749
10.445	0.9757
10.477	0.9764
10.508	0.9772
10.540	0.9774
10.572	0.9768
10.604	0.9761
10.636	0.9752
10.669	0.9744
10.702	0.9742
10.735	0.9738
10.768	0.9732
10.801	0.9726
10.835	0.9711
10.868	0.9690
10.902	0.9666
10.936	0.9645
10.971	0.9635
11.005	0.9633
11.040	0.9642
11.075	0.9653
11.110	0.9657
11.146	0.9666
11.182	0.9678
11.218	0.9683
11.254	0.9679
11.290	0.9672
11.327	0.9679
11.364	0.9694
11.401	0.9705
11.438	0.9712
11.476	0.9717
11.514	0.9715
11.552	0.9719
11.590	0.9732
11.629	0.9736
11.668	0.9736
11.707	0.9735
11.746	0.9735
11.786	0.9750
11.826	0.9771
11.866	0.9774
11.906	0.9758
11.947	0.9762
11.988	0.9775
12.029	0.9791
12.071	0.9791
12.113	0.9758
12.155	0.9766
12.198	0.9790
12.240	0.9803
12.283	0.9828
12.327	0.9840
12.371	0.9820
12.414	0.9791
12.459	0.9776
12.503	0.9761
12.548	0.9743
12.594	0.9756
12.639	0.9776
12.685	0.9780
12.731	0.9782
12.778	0.9786
12.825	0.9774
12.872	0.9766
12.920	0.9791
12.968	0.9805
13.016	0.9802
13.065	0.9812
13.114	0.9816
13.163	0.9811
13.213	0.9815
13.263	0.9805
13.314	0.9787
13.365	0.9786
13.416	0.9785
13.468	0.9779
13.520	0.9768
13.573	0.9772
13.626	0.9779
13.679	0.9769
13.733	0.9762
13.787	0.9785
13.842	0.9790
13.897	0.9767
13.952	0.9797
