Name:	Tufits
Type:	Rock
Class:	volcanic
Particle size:	<= 2 mm
Sample No: 35
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2400369
Lon:	12.7237039

toxicity:	0.0
pH H2O:	3.46
pH KCl:	2.66
conductivity [µS.cm-1]:	106
water soluble Na [mg.g-1]:	101
water soluble K [mg.g-1]:	48
Al in KCl [mg.kg-1]:	998.72
Fe in KCl [mg.kg-1]:	135.47
loss of ignition [%]:	25.84
polyphenol content []:	19.1

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9852
8.020	0.9839
8.038	0.9826
8.057	0.9824
8.075	0.9809
8.094	0.9794
8.113	0.9806
8.132	0.9822
8.151	0.9817
8.170	0.9818
8.189	0.9837
8.208	0.9822
8.228	0.9793
8.247	0.9782
8.267	0.9796
8.286	0.9805
8.306	0.9801
8.326	0.9803
8.346	0.9805
8.366	0.9795
8.386	0.9795
8.406	0.9796
8.427	0.9783
8.447	0.9777
8.468	0.9776
8.488	0.9778
8.509	0.9779
8.530	0.9771
8.551	0.9771
8.572	0.9771
8.593	0.9771
8.614	0.9768
8.635	0.9758
8.657	0.9742
8.678	0.9728
8.700	0.9724
8.722	0.9716
8.744	0.9697
8.766	0.9684
8.788	0.9681
8.810	0.9666
8.832	0.9649
8.855	0.9642
8.877	0.9637
8.900	0.9635
8.923	0.9644
8.945	0.9672
8.968	0.9704
8.992	0.9731
9.015	0.9743
9.038	0.9727
9.062	0.9694
9.085	0.9661
9.109	0.9622
9.133	0.9591
9.157	0.9565
9.181	0.9533
9.205	0.9499
9.229	0.9470
9.254	0.9449
9.279	0.9438
9.303	0.9431
9.328	0.9420
9.353	0.9415
9.378	0.9417
9.404	0.9415
9.429	0.9412
9.455	0.9413
9.480	0.9420
9.506	0.9420
9.532	0.9407
9.558	0.9396
9.585	0.9397
9.611	0.9402
9.637	0.9404
9.664	0.9412
9.691	0.9435
9.718	0.9480
9.745	0.9533
9.772	0.9570
9.800	0.9585
9.828	0.9588
9.855	0.9584
9.883	0.9567
9.911	0.9549
9.940	0.9547
9.968	0.9564
9.996	0.9594
10.025	0.9623
10.054	0.9643
10.083	0.9658
10.112	0.9671
10.142	0.9679
10.171	0.9686
10.201	0.9695
10.231	0.9708
10.261	0.9718
10.291	0.9724
10.322	0.9731
10.352	0.9741
10.383	0.9745
10.414	0.9747
10.445	0.9756
10.477	0.9774
10.508	0.9789
10.540	0.9792
10.572	0.9788
10.604	0.9784
10.636	0.9783
10.669	0.9779
10.702	0.9775
10.735	0.9777
10.768	0.9780
10.801	0.9775
10.835	0.9769
10.868	0.9761
10.902	0.9750
10.936	0.9739
10.971	0.9727
11.005	0.9722
11.040	0.9730
11.075	0.9734
11.110	0.9736
11.146	0.9745
11.182	0.9751
11.218	0.9755
11.254	0.9753
11.290	0.9748
11.327	0.9750
11.364	0.9754
11.401	0.9750
11.438	0.9748
11.476	0.9751
11.514	0.9749
11.552	0.9748
11.590	0.9757
11.629	0.9761
11.668	0.9770
11.707	0.9782
11.746	0.9777
11.786	0.9780
11.826	0.9796
11.866	0.9821
11.906	0.9831
11.947	0.9816
11.988	0.9809
12.029	0.9806
12.071	0.9794
12.113	0.9788
12.155	0.9810
12.198	0.9831
12.240	0.9836
12.283	0.9841
12.327	0.9851
12.371	0.9858
12.414	0.9861
12.459	0.9863
12.503	0.9859
12.548	0.9851
12.594	0.9856
12.639	0.9868
12.685	0.9859
12.731	0.9852
12.778	0.9863
12.825	0.9863
12.872	0.9847
12.920	0.9841
12.968	0.9849
13.016	0.9861
13.065	0.9871
13.114	0.9879
13.163	0.9885
13.213	0.9894
13.263	0.9893
13.314	0.9880
13.365	0.9864
13.416	0.9844
13.468	0.9830
13.520	0.9833
13.573	0.9852
13.626	0.9860
13.679	0.9856
13.733	0.9861
13.787	0.9871
13.842	0.9850
13.897	0.9809
13.952	0.9817
