Name:	Tertiary coal rich sand
Type:	Rock
Class:	Sedimentary
Particle size:	<= 2 mm
Sample No: 05
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2126503
Lon:	12.6441711

toxicity:	0.0
pH H2O:	4.26
pH KCl:	3.62
conductivity [µS.cm-1]:	365
water soluble Na [mg.g-1]:	39
water soluble K [mg.g-1]:	68
Al in KCl [mg.kg-1]:	54.43
Fe in KCl [mg.kg-1]:	13.58
loss of ignition [%]:	42.51
polyphenol content []:	30.3

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9884
8.020	0.9895
8.038	0.9896
8.057	0.9884
8.075	0.9873
8.094	0.9886
8.113	0.9883
8.132	0.9857
8.151	0.9836
8.170	0.9822
8.189	0.9826
8.208	0.9840
8.228	0.9842
8.247	0.9837
8.267	0.9835
8.286	0.9804
8.306	0.9777
8.326	0.9801
8.346	0.9829
8.366	0.9815
8.386	0.9812
8.406	0.9825
8.427	0.9823
8.447	0.9801
8.468	0.9790
8.488	0.9784
8.509	0.9779
8.530	0.9783
8.551	0.9778
8.572	0.9773
8.593	0.9773
8.614	0.9763
8.635	0.9747
8.657	0.9734
8.678	0.9726
8.700	0.9707
8.722	0.9684
8.744	0.9671
8.766	0.9662
8.788	0.9648
8.810	0.9629
8.832	0.9621
8.855	0.9612
8.877	0.9603
8.900	0.9604
8.923	0.9615
8.945	0.9640
8.968	0.9675
8.992	0.9716
9.015	0.9740
9.038	0.9727
9.062	0.9695
9.085	0.9663
9.109	0.9621
9.133	0.9583
9.157	0.9550
9.181	0.9520
9.205	0.9499
9.229	0.9462
9.254	0.9418
9.279	0.9386
9.303	0.9358
9.328	0.9329
9.353	0.9301
9.378	0.9275
9.404	0.9264
9.429	0.9260
9.455	0.9250
9.480	0.9233
9.506	0.9210
9.532	0.9193
9.558	0.9188
9.585	0.9180
9.611	0.9167
9.637	0.9164
9.664	0.9171
9.691	0.9193
9.718	0.9249
9.745	0.9336
9.772	0.9407
9.800	0.9440
9.828	0.9448
9.855	0.9425
9.883	0.9387
9.911	0.9369
9.940	0.9379
9.968	0.9407
9.996	0.9447
10.025	0.9499
10.054	0.9539
10.083	0.9563
10.112	0.9587
10.142	0.9611
10.171	0.9627
10.201	0.9641
10.231	0.9656
10.261	0.9671
10.291	0.9689
10.322	0.9705
10.352	0.9715
10.383	0.9726
10.414	0.9738
10.445	0.9749
10.477	0.9764
10.508	0.9773
10.540	0.9772
10.572	0.9764
10.604	0.9756
10.636	0.9749
10.669	0.9744
10.702	0.9739
10.735	0.9740
10.768	0.9738
10.801	0.9722
10.835	0.9701
10.868	0.9686
10.902	0.9665
10.936	0.9635
10.971	0.9612
11.005	0.9604
11.040	0.9613
11.075	0.9625
11.110	0.9636
11.146	0.9651
11.182	0.9661
11.218	0.9670
11.254	0.9677
11.290	0.9676
11.327	0.9679
11.364	0.9680
11.401	0.9680
11.438	0.9686
11.476	0.9694
11.514	0.9701
11.552	0.9710
11.590	0.9713
11.629	0.9706
11.668	0.9699
11.707	0.9699
11.746	0.9717
11.786	0.9733
11.826	0.9740
11.866	0.9746
11.906	0.9746
11.947	0.9744
11.988	0.9738
12.029	0.9751
12.071	0.9796
12.113	0.9805
12.155	0.9772
12.198	0.9768
12.240	0.9774
12.283	0.9766
12.327	0.9770
12.371	0.9778
12.414	0.9764
12.459	0.9753
12.503	0.9741
12.548	0.9711
12.594	0.9714
12.639	0.9753
12.685	0.9776
12.731	0.9779
12.778	0.9777
12.825	0.9765
12.872	0.9757
12.920	0.9767
12.968	0.9766
13.016	0.9775
13.065	0.9794
13.114	0.9799
13.163	0.9800
13.213	0.9798
13.263	0.9788
13.314	0.9777
13.365	0.9775
13.416	0.9796
13.468	0.9788
13.520	0.9735
13.573	0.9721
13.626	0.9724
13.679	0.9747
13.733	0.9798
13.787	0.9830
13.842	0.9796
13.897	0.9728
13.952	0.9782
