Name:	Tufits
Type:	Rock
Class:	volcanic
Particle size:	<= 2 mm
Sample No: 16
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2328144
Lon:	12.6507961

toxicity:	0.06975
pH H2O:	7.85
pH KCl:	7.21
conductivity [µS.cm-1]:	196
water soluble Na [mg.g-1]:	57
water soluble K [mg.g-1]:	125
Al in KCl [mg.kg-1]:	6.57
Fe in KCl [mg.kg-1]:	4.09
loss of ignition [%]:	14.58
polyphenol content []:	0.5

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9877
8.020	0.9872
8.038	0.9865
8.057	0.9893
8.075	0.9891
8.094	0.9878
8.113	0.9873
8.132	0.9866
8.151	0.9861
8.170	0.9867
8.189	0.9883
8.208	0.9896
8.228	0.9889
8.247	0.9863
8.267	0.9849
8.286	0.9851
8.306	0.9859
8.326	0.9862
8.346	0.9850
8.366	0.9840
8.386	0.9838
8.406	0.9829
8.427	0.9814
8.447	0.9817
8.468	0.9817
8.488	0.9803
8.509	0.9786
8.530	0.9787
8.551	0.9799
8.572	0.9788
8.593	0.9760
8.614	0.9744
8.635	0.9727
8.657	0.9706
8.678	0.9682
8.700	0.9660
8.722	0.9641
8.744	0.9625
8.766	0.9615
8.788	0.9602
8.810	0.9584
8.832	0.9581
8.855	0.9581
8.877	0.9582
8.900	0.9591
8.923	0.9611
8.945	0.9635
8.968	0.9654
8.992	0.9675
9.015	0.9682
9.038	0.9662
9.062	0.9631
9.085	0.9587
9.109	0.9527
9.133	0.9479
9.157	0.9434
9.181	0.9387
9.205	0.9347
9.229	0.9311
9.254	0.9281
9.279	0.9260
9.303	0.9250
9.328	0.9235
9.353	0.9210
9.378	0.9186
9.404	0.9181
9.429	0.9195
9.455	0.9205
9.480	0.9206
9.506	0.9216
9.532	0.9237
9.558	0.9255
9.585	0.9276
9.611	0.9305
9.637	0.9329
9.664	0.9336
9.691	0.9344
9.718	0.9377
9.745	0.9414
9.772	0.9444
9.800	0.9474
9.828	0.9493
9.855	0.9500
9.883	0.9499
9.911	0.9497
9.940	0.9507
9.968	0.9528
9.996	0.9552
10.025	0.9582
10.054	0.9613
10.083	0.9633
10.112	0.9643
10.142	0.9659
10.171	0.9677
10.201	0.9683
10.231	0.9684
10.261	0.9695
10.291	0.9710
10.322	0.9718
10.352	0.9723
10.383	0.9727
10.414	0.9733
10.445	0.9737
10.477	0.9739
10.508	0.9740
10.540	0.9741
10.572	0.9739
10.604	0.9732
10.636	0.9726
10.669	0.9719
10.702	0.9710
10.735	0.9708
10.768	0.9710
10.801	0.9700
10.835	0.9680
10.868	0.9669
10.902	0.9660
10.936	0.9645
10.971	0.9627
11.005	0.9614
11.040	0.9618
11.075	0.9629
11.110	0.9636
11.146	0.9644
11.182	0.9655
11.218	0.9656
11.254	0.9644
11.290	0.9635
11.327	0.9635
11.364	0.9635
11.401	0.9637
11.438	0.9638
11.476	0.9634
11.514	0.9628
11.552	0.9625
11.590	0.9638
11.629	0.9650
11.668	0.9638
11.707	0.9603
11.746	0.9597
11.786	0.9629
11.826	0.9655
11.866	0.9660
11.906	0.9648
11.947	0.9655
11.988	0.9665
12.029	0.9652
12.071	0.9635
12.113	0.9642
12.155	0.9666
12.198	0.9673
12.240	0.9657
12.283	0.9644
12.327	0.9648
12.371	0.9642
12.414	0.9639
12.459	0.9650
12.503	0.9612
12.548	0.9530
12.594	0.9557
12.639	0.9646
12.685	0.9675
12.731	0.9660
12.778	0.9649
12.825	0.9643
12.872	0.9636
12.920	0.9669
12.968	0.9678
13.016	0.9669
13.065	0.9683
13.114	0.9685
13.163	0.9672
13.213	0.9639
13.263	0.9596
13.314	0.9609
13.365	0.9622
13.416	0.9585
13.468	0.9520
13.520	0.9490
13.573	0.9519
13.626	0.9528
13.679	0.9475
13.733	0.9466
13.787	0.9564
13.842	0.9605
13.897	0.9513
13.952	0.9489
