Name:	Tertiary clay – Cypris serie – grey
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 19
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2126228
Lon:	12.6435061

toxicity:	0.0
pH H2O:	2.36
pH KCl:	2.25
conductivity [µS.cm-1]:	1795
water soluble Na [mg.g-1]:	48
water soluble K [mg.g-1]:	12
Al in KCl [mg.kg-1]:	1044.29
Fe in KCl [mg.kg-1]:	321.46
loss of ignition [%]:	15.59
polyphenol content []:	7.2

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9824
8.020	0.9819
8.038	0.9800
8.057	0.9764
8.075	0.9750
8.094	0.9705
8.113	0.9651
8.132	0.9624
8.151	0.9606
8.170	0.9588
8.189	0.9595
8.208	0.9595
8.228	0.9578
8.247	0.9565
8.267	0.9548
8.286	0.9532
8.306	0.9529
8.326	0.9538
8.346	0.9542
8.366	0.9538
8.386	0.9538
8.406	0.9543
8.427	0.9552
8.447	0.9541
8.468	0.9525
8.488	0.9518
8.509	0.9528
8.530	0.9533
8.551	0.9533
8.572	0.9555
8.593	0.9579
8.614	0.9595
8.635	0.9604
8.657	0.9590
8.678	0.9560
8.700	0.9514
8.722	0.9474
8.744	0.9449
8.766	0.9431
8.788	0.9418
8.810	0.9411
8.832	0.9403
8.855	0.9387
8.877	0.9384
8.900	0.9408
8.923	0.9467
8.945	0.9535
8.968	0.9590
8.992	0.9640
9.015	0.9640
9.038	0.9585
9.062	0.9533
9.085	0.9493
9.109	0.9438
9.133	0.9395
9.157	0.9360
9.181	0.9320
9.205	0.9286
9.229	0.9249
9.254	0.9214
9.279	0.9197
9.303	0.9191
9.328	0.9185
9.353	0.9192
9.378	0.9215
9.404	0.9226
9.429	0.9238
9.455	0.9258
9.480	0.9267
9.506	0.9271
9.532	0.9272
9.558	0.9273
9.585	0.9282
9.611	0.9304
9.637	0.9344
9.664	0.9384
9.691	0.9425
9.718	0.9486
9.745	0.9546
9.772	0.9586
9.800	0.9609
9.828	0.9607
9.855	0.9588
9.883	0.9568
9.911	0.9557
9.940	0.9565
9.968	0.9592
9.996	0.9623
10.025	0.9645
10.054	0.9666
10.083	0.9685
10.112	0.9699
10.142	0.9707
10.171	0.9711
10.201	0.9719
10.231	0.9728
10.261	0.9734
10.291	0.9739
10.322	0.9748
10.352	0.9759
10.383	0.9768
10.414	0.9778
10.445	0.9787
10.477	0.9798
10.508	0.9802
10.540	0.9804
10.572	0.9805
10.604	0.9797
10.636	0.9784
10.669	0.9779
10.702	0.9780
10.735	0.9775
10.768	0.9769
10.801	0.9763
10.835	0.9748
10.868	0.9727
10.902	0.9707
10.936	0.9687
10.971	0.9678
11.005	0.9671
11.040	0.9665
11.075	0.9668
11.110	0.9669
11.146	0.9668
11.182	0.9669
11.218	0.9671
11.254	0.9667
11.290	0.9661
11.327	0.9668
11.364	0.9673
11.401	0.9669
11.438	0.9660
11.476	0.9657
11.514	0.9666
11.552	0.9676
11.590	0.9682
11.629	0.9686
11.668	0.9690
11.707	0.9683
11.746	0.9685
11.786	0.9705
11.826	0.9713
11.866	0.9714
11.906	0.9723
11.947	0.9744
11.988	0.9754
12.029	0.9747
12.071	0.9736
12.113	0.9745
12.155	0.9772
12.198	0.9783
12.240	0.9784
12.283	0.9787
12.327	0.9780
12.371	0.9764
12.414	0.9750
12.459	0.9736
12.503	0.9708
12.548	0.9641
12.594	0.9633
12.639	0.9699
12.685	0.9744
12.731	0.9737
12.778	0.9703
12.825	0.9689
12.872	0.9694
12.920	0.9739
12.968	0.9756
13.016	0.9745
13.065	0.9756
13.114	0.9789
13.163	0.9807
13.213	0.9775
13.263	0.9718
13.314	0.9717
13.365	0.9742
13.416	0.9706
13.468	0.9594
13.520	0.9580
13.573	0.9642
13.626	0.9654
13.679	0.9685
13.733	0.9682
13.787	0.9657
13.842	0.9634
13.897	0.9572
13.952	0.9646
