Name:	Tufits
Type:	Rock
Class:	volcanic
Particle size:	<= 2 mm
Sample No: 08
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2323228
Lon:	12.6514586

toxicity:	0.26862
pH H2O:	8.36
pH KCl:	7.66
conductivity [µS.cm-1]:	199
water soluble Na [mg.g-1]:	82
water soluble K [mg.g-1]:	150
Al in KCl [mg.kg-1]:	0.52
Fe in KCl [mg.kg-1]:	1.05
loss of ignition [%]:	16.06
polyphenol content []:	0.8

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9499
8.020	0.9499
8.038	0.9508
8.057	0.9512
8.075	0.9507
8.094	0.9504
8.113	0.9467
8.132	0.9469
8.151	0.9512
8.170	0.9515
8.189	0.9521
8.208	0.9518
8.228	0.9519
8.247	0.9528
8.267	0.9534
8.286	0.9555
8.306	0.9563
8.326	0.9579
8.346	0.9590
8.366	0.9563
8.386	0.9564
8.406	0.9574
8.427	0.9562
8.447	0.9568
8.468	0.9578
8.488	0.9579
8.509	0.9578
8.530	0.9580
8.551	0.9577
8.572	0.9578
8.593	0.9583
8.614	0.9576
8.635	0.9570
8.657	0.9566
8.678	0.9555
8.700	0.9536
8.722	0.9517
8.744	0.9498
8.766	0.9476
8.788	0.9444
8.810	0.9386
8.832	0.9363
8.855	0.9362
8.877	0.9358
8.900	0.9367
8.923	0.9403
8.945	0.9459
8.968	0.9528
8.992	0.9602
9.015	0.9632
9.038	0.9598
9.062	0.9538
9.085	0.9460
9.109	0.9364
9.133	0.9289
9.157	0.9221
9.181	0.9144
9.205	0.9065
9.229	0.8988
9.254	0.8922
9.279	0.8868
9.303	0.8815
9.328	0.8766
9.353	0.8735
9.378	0.8706
9.404	0.8673
9.429	0.8654
9.455	0.8651
9.480	0.8647
9.506	0.8641
9.532	0.8636
9.558	0.8634
9.585	0.8641
9.611	0.8661
9.637	0.8690
9.664	0.8729
9.691	0.8793
9.718	0.8898
9.745	0.9017
9.772	0.9102
9.800	0.9149
9.828	0.9152
9.855	0.9129
9.883	0.9100
9.911	0.9074
9.940	0.9084
9.968	0.9140
9.996	0.9215
10.025	0.9286
10.054	0.9339
10.083	0.9377
10.112	0.9410
10.142	0.9444
10.171	0.9471
10.201	0.9491
10.231	0.9513
10.261	0.9538
10.291	0.9561
10.322	0.9582
10.352	0.9604
10.383	0.9623
10.414	0.9642
10.445	0.9665
10.477	0.9688
10.508	0.9702
10.540	0.9708
10.572	0.9705
10.604	0.9693
10.636	0.9678
10.669	0.9669
10.702	0.9667
10.735	0.9662
10.768	0.9657
10.801	0.9651
10.835	0.9630
10.868	0.9602
10.902	0.9570
10.936	0.9531
10.971	0.9500
11.005	0.9494
11.040	0.9512
11.075	0.9537
11.110	0.9560
11.146	0.9575
11.182	0.9576
11.218	0.9574
11.254	0.9579
11.290	0.9593
11.327	0.9601
11.364	0.9607
11.401	0.9623
11.438	0.9631
11.476	0.9635
11.514	0.9652
11.552	0.9670
11.590	0.9675
11.629	0.9673
11.668	0.9667
11.707	0.9662
11.746	0.9688
11.786	0.9714
11.826	0.9707
11.866	0.9691
11.906	0.9701
11.947	0.9715
11.988	0.9707
12.029	0.9726
12.071	0.9776
12.113	0.9794
12.155	0.9760
12.198	0.9738
12.240	0.9739
12.283	0.9754
12.327	0.9779
12.371	0.9788
12.414	0.9782
12.459	0.9764
12.503	0.9738
12.548	0.9753
12.594	0.9778
12.639	0.9755
12.685	0.9744
12.731	0.9752
12.778	0.9772
12.825	0.9787
12.872	0.9778
12.920	0.9766
12.968	0.9772
13.016	0.9782
13.065	0.9795
13.114	0.9784
13.163	0.9774
13.213	0.9781
13.263	0.9781
13.314	0.9784
13.365	0.9794
13.416	0.9793
13.468	0.9762
13.520	0.9748
13.573	0.9768
13.626	0.9779
13.679	0.9790
13.733	0.9791
13.787	0.9793
13.842	0.9758
13.897	0.9697
13.952	0.9762
