7	0.7096
7.1	0.6731
7.2	0.6672
7.3	0.6389
7.4	0.6064
7.5	0.6453
7.6	0.6086
7.7	0.6291
7.8	0.7158
7.9	0.8259
8	0.8871
8.1	0.9666
8.2	1.0329
8.3	1.092
8.4	1.2023
8.5	1.336
8.6	1.4959
8.7	1.8672
8.8	2.4778
8.9	3.0666
9	3.2484
9.1	3.2141
9.2	3.0587
9.3	2.9203
9.4	2.885
9.5	2.7707
9.6	2.5489
9.7	2.2684
9.8	2.0389
9.9	1.9651
10	1.9974
10.1	2.0079
10.2	2.0843
10.3	2.1249
10.4	2.1002
10.5	2.0228
10.6	1.9345
10.7	1.8385
10.8	1.7203
10.9	1.6009
11	1.611
11.1	1.5653
11.2	1.4993
11.3	1.4083
11.4	1.3357
11.5	1.2467
11.6	1.1721
11.7	1.1182
11.8	1.1031
11.9	1.1048
12	1.0883
12.1	1.1076
12.2	1.165
12.3	1.1664
12.4	1.1997
12.5	1.1817
12.6	1.1826
12.7	1.1651
12.8	1.1443
12.9	1.1351
13	1.073
13.1	1.092
13.2	1.0872
13.3	1.0805
13.4	1.0923
13.5	1.1347
13.6	1.1369
13.7	1.1143
13.8	1.136
13.9	1.1136
14	1.0448
